#originChain,nativeTokenAddress
1,So11111111111111111111111111111111111111112
1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v
1,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
2,0xdac17f958d2ee523a2206206994597c13d831ec7
2,0x6b175474e89094c44da98b954eedeac495271d0f
2,0x853d955acef822db058eb8505911ed77f175b99e
3,uluna
3,uusd
3,terra1hzh9vpxhsk8253se0vv5jj6etdvxu3nv8z07zu
4,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
4,0xe9e7cea3dedca5984780bafc599bd69add087d56
4,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d
4,0x55d398326f99059ff775485246999027b3197955
5,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
5,0x2791bca1f2de4661ed88a30c99a7a9449aa84174
5,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
6,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7
6,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664
6,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e
6,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7
7,0x21c718c22d52d0f3a789b752d4c2fd5908a8a733
7,0x94fbffe5698db6f54d6ca524dbe673a7729014be
8,algo
8,31566704
8,312769
9,0xC9BdeEd33CD01541e1eeD10f90519d2C06Fe3feB
9,0x8BEc47865aDe3B172A928df8f990Bc7f2A3b9f79
9,0xb12bfca5a55806aaf64e99521918a4bf0fc40802
9,0x4988a896b1227218e4a686fde5eabdcabd91571f
9,0xE4B9e004389d91e4134a28F19BD833cBA1d994B6
10,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83
10,0x04068da6c83afcfa0e13ba15a6696662335d5b75
11,0x0000000000000000000100000000000000000080
11,0x0000000000000000000100000000000000000081
11,0x0000000000000000000500000000000000000007
11,0x0000000000000000000100000000000000000082
12,0x0000000000000000000100000000000000000000
12,0x0000000000000000000100000000000000000001
12,0x0000000000000000000100000000000000000002
13,0xe4f05a66ec68b54a58b17c22107b02e0232cc817
13,0x5fff3a6c16c2208103f318f4713d4d90601a7313
13,0x5096db80b21ef45230c9e423c373f1fc9c0198dd
13,0x5c74070fdea071359b86082bd9f9b3deaafbe32b
13,0xcee8faf64bb97a73bb51e115aa89c17ffa8dd167
14,0x471ece3750da237f93b8e339c536989b8978a438
14,0x765de816845861e75a25fca122bb6898b8b1282a
14,0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73
15,0xf8ad328e98f85fccbf09e43b16dcbbda7e84beab
18,uluna
